物種,id,疾病項目,飲食注意,專家叮嚀
貓咪,kidney,慢性腎病（貓頭號殺手）,依獸醫指示低磷飲食、濕食與飲水，定期血檢,7歲以上建議每年血檢尿檢，飲水充足
貓咪,fiv,貓愛滋（FIV）,避免生食（防沙門氏菌等感染風險），維持優質營養與免疫力,主要透過深度咬傷傳播，和平相處可與陰性貓共存；需結紮減少打鬥，室內飼養避免傳染病
貓咪,diabetes,糖尿病,依獸醫指示控制碳水與餵食時間,規律餵食、監測血糖與體重
貓咪,hyperthyroid,甲狀腺亢進,依獸醫指示飲食與用藥（碘限制等）,定期複檢甲狀腺與心腎
貓咪,flutd,泌尿道／結石（公貓易阻塞）,依獸醫建議處方或低鎂飲食，鼓勵飲水與濕食,多喝水、留意如廁，公貓阻塞為急症
貓咪,heart,心臟病,依獸醫建議低鈉或處方飲食,定期心臟檢查，留意咳嗽與喘
貓咪,arthritis,關節炎（熟齡貓常見）,控制體重減輕負擔，可搭配關節保健,6歲以上好發，防滑、軟墊
貓咪,chronic_kidney_disease,慢性腎病（老貓頭號殺手）,嚴格限制磷攝取（依IRIS分期）、增加濕食比例以維持尿比重,建議7歲起監測SDMA（早期指標）；晚期需學習居家皮下輸液技巧，注意高血壓與貧血併發症
貓咪,fic,貓下泌尿道症候群（FIC/結石）,增加飲水稀釋尿液（目標尿比重<1.035），多貓家庭需分散資源（水碗、砂盆）,公貓尿道窄易致命阻塞；治療核心為「環境優化（MEMO）」與減少壓力（如使用費洛蒙），而非僅靠藥物
貓咪,diabetes_type2,糖尿病（第二型為主）,絕對低碳水（<10%熱量比）、高蛋白飲食（如主食罐），戒除乾飼料,居家測量血糖為黃金標準（避免醫院緊迫性高血糖）；使用長效胰島素有高機率緩解
貓咪,hyperthyroidism,甲狀腺功能亢進,依獸醫指示用藥或處方飲食（低碘），注意「食慾極好卻變瘦」的警訊,治療時需防「腎臟掩蓋效應」（甲亢會掩飾腎衰竭），需漸進式治療並密集監測腎指數
貓咪,hcm,肥大性心肌病（HCM，布偶/英短易感）,低鈉飲食，避免過鹹零食；維持高適口性飲食預防惡病質,這是布偶貓與英短常見遺傳病；需監測「休息時呼吸次數（SRR）」若>30次/分需就醫，慎防動脈血栓造成癱瘓
貓咪,pancreatitis,貓胰臟炎（常伴隨三體炎）,高消化率蛋白質、適度纖維；嚴禁禁食（超過48小時易引發脂肪肝）,症狀隱晦（不一定嘔吐，常為厭食精神差）；需積極止痛，必要時使用食道餵食管灌食
貓咪,fcgs,慢性口炎（FCGS）,提供極軟流質、慕斯或肉泥，避免硬飼料刺激潰爛牙齦；補充乳鐵蛋白與B群,屬免疫系統疾病，極度疼痛；藥物僅能緩解，全口拔牙是目前最有效的根治手段（約8成改善）
貓咪,osteoarthritis,退化性關節炎（折耳/曼赤肯/老貓）,嚴格控制體重（減輕負擔為首要），補充綠唇貝（抗發炎）與Omega-3,減少垂直跳躍，設置斜坡；新型單株抗體針劑（Solensia）可有效止痛且不傷腎
貓咪,cognitive_dysfunction,認知障礙（老貓失智）,補充MCTs（中鏈三酸甘油酯）、抗氧化劑（維生素E、C）保護腦部,常見夜間嚎叫、迷失方向；環境擺設應固定，給予夜燈減少恐懼，維持尊嚴照護
狗狗,kidney,慢性腎病,依獸醫指示低磷飲食並注意飲水,定期追蹤腎指數與血壓
狗狗,heart,心臟病（小型犬瓣膜、大型犬心肌）,依獸醫建議低鈉或處方飲食,留意久咳、喘、舌頭發紫，按時服藥
狗狗,arthritis,關節炎／髖關節發育不良,控制體重、關節保健配方，依獸醫指示,大型犬髖關節好發，防滑、適度活動
狗狗,diabetes,糖尿病,依獸醫指示使用處方飼料，避免肥胖（肥胖是惡化因子）,規律餵食與注射胰島素，需預防併發酮酸中毒或白內障
狗狗,trachea,氣管塌陷（小型犬好發）,嚴格控制體重（肥胖會加重呼吸困難），避免過熱,外出改用胸背帶（Harness）取代項圈；博美、約克夏出現「鵝叫聲」咳嗽時需安撫並就醫
狗狗,skin,皮膚／過敏,依獸醫建議排除過敏原或處方飼料,留意搔癢、脫毛、皮屑
狗狗,chronic_kidney_disease,慢性腎病（老犬常見）,嚴格限制磷攝取（不可給肉骨湯、肉乾）、補充足夠水分與優質適量蛋白,建議7歲起定期監測SDMA（早期腎指標）與血壓；需注意高血磷導致的併發症
狗狗,heart_disease,心臟病（小型犬瓣膜/大型犬心肌）,嚴格低鈉（禁食人類飯菜）、補充牛磺酸與L-肉鹼,居家需每日監測「休息時呼吸次數 (SRR)」，若每分鐘>30次恐為肺水腫前兆，需立即就醫
狗狗,osteoarthritis,關節炎（髖關節/退化性）,體重控制（減重為首要）、補充綠唇貝（抗發炎效果優於一般魚油）,大型犬防滑止滑；柯基/臘腸嚴禁跳沙發或上下樓梯（防椎間盤突出）
狗狗,allergic_dermatitis,皮膚病／過敏（濕疹/黴菌）,排除過敏原；可諮詢中獸醫給予薏仁、綠豆等清熱利濕食材（需煮爛）,台灣氣候濕熱，需保持環境乾燥；避免給予生澱粉以免消化不良
狗狗,malignant_neoplasm,癌症（惡性腫瘤）,採「低碳水、適量高蛋白、高脂肪」策略（餓死癌細胞），補充褐藻醣膠與高劑量魚油,需密切監控體態（BCS）避免惡病質（肌少症）；食慾廢絕時可考慮鼻胃管灌食
狗狗,_ivdd,椎間盤疾病 (IVDD),絕對控制體重，避免脊椎承受槓桿壓力,臘腸、柯基為高風險群；抱狗時務必「一手托胸、一手托臀」保持脊椎水平
狗狗,_gdv,胃擴張扭轉 (GDV),使用慢食碗，每日分多餐餵食，避免狼吞虎嚥,大型胸深犬種（如黃金獵犬）飯後一小時內「絕對禁止」劇烈運動，此為致死急症
狗狗,_boas,短吻犬呼吸道阻塞 (BOAS),注意環境溫控（建議25°C以下），防止熱衰竭,法鬥、巴哥散熱不易，夏季避免白晝散步；若呼吸雜音嚴重建議評估手術
狗狗,pyometra,子宮蓄膿（未結紮母犬）,發生於發情後1-2個月，出現多喝多尿、腹部變大,致命急症；細菌內毒素會引發腎衰竭，唯一根治方法為手術切除子宮卵巢
狗狗,prostatomegaly,攝護腺腫大（未結紮公犬）,增加纖維攝取（如南瓜泥）以軟化糞便，減少排便疼痛,常見大便變細（緞帶狀）或血尿；結紮可有效預防與治療良性增生
兔子,teeth,咬合不正／牙齒過長（兔最常見）,無限量提摩西草磨牙，依獸醫建議草料與飼料,荷蘭侏儒兔等短顎品種風險高，定期檢查
兔子,gi_stasis,腸胃停滯／毛球症,高纖維牧草、充足飲水，依獸醫指示,食慾下降、排便減少為警訊，盡速就醫
兔子,bladder,泌尿道／結石,依獸醫建議低鈣或處方飲食，每日飲水50–100ml/kg,多喝水、留意排尿量
兔子,ecuniculi,歪頭症／E. cuniculi,依獸醫指示用藥與支持照護,神經症狀、白內障等，及早治療
兔子,pasteurella,巴斯德桿菌／呼吸道,維持營養與食慾，依獸醫用藥,打噴嚏、鼻分泌物、肺炎，環境通風
兔子,gastrointestinal_stasis,胃腸道停滯／急性胃擴張,主食牧草佔80%以上（高纖維持蠕動），每日檢查牧草有無發霉（防黴菌毒素）,建立「不吃不喝即急診」觀念，禁食12-24小時恐引發致命脂肪肝或休克；需區分慢性停滯與急性脹氣（腹部如鼓）
兔子,dental_disease,牙科病變（咬合不正/牙根膿瘍）,無限量提摩西草磨牙（成兔禁食過多苜蓿草以免鈣質失衡導致骨質疏鬆）,侏儒兔與垂耳兔因頭骨結構易患病；需定期檢查臼齒，避免牙刺割傷口腔或牙根穿入眼眶/下顎導致膿瘍
兔子,urolithiasis,泌尿道結石／高鈣尿症,使用「開放式水碗」增加飲水量（優於滾珠水瓶），嚴格限制高鈣食物（如苜蓿草）,兔為被動吸收鈣質，尿液混濁正常但泥沙狀需警惕；多喝水是預防結石與洗刷膀胱沉積物的關鍵
兔子,torticollis,歪頭症（中耳炎／孢子蟲）,依獸醫指示用藥；若為腦炎小孢子蟲（EC）需配合驅蟲與類固醇,垂耳兔結構易患中耳炎引發歪頭；需鑑別診斷是感染或寄生蟲；護理需防翻滾撞傷（狹小空間鋪軟墊）
兔子,pasteurellosis,巴斯德桿菌（鼻塞病）,維持環境通風與低氨氣濃度，避免溫差過大導致免疫下降,常見打噴嚏、前腳沾黏鼻水；細菌易形成生物膜難根治，屬長期抗戰
兔子,uterine_adenocarcinoma,子宮腺癌（母兔殺手）,維持理想體態，肥胖增加麻醉與手術風險,未結紮母兔3歲後罹癌率高達60-80%，「預防性絕育」是唯一解方；早期無症狀，血尿常為晚期肺轉移警訊
兔子,sore_hocks,足底炎（胼胝）,控制體重（肥胖加重足底壓力），避免指甲過長,雷克斯兔（Rex）因毛髮結構易患此病；嚴禁鐵絲籠底，需鋪設記憶棉或高密度軟墊防護
兔子,heatstroke,熱衰竭（中暑）,氣溫>28°C即有危險，需開冷氣或使用保冷劑,急救不可直接泡冰水（血管收縮反礙散熱），僅能擦拭耳部；張口呼吸為極度危險訊號
