物種,階段,ageRange,對應人類年齡,建議健檢頻率,照護重點,常見問題
貓咪,幼年期,0.0-1.0,0-15歲,每 3 個月健檢一次,🍼 高蛋白飲食支持快速發育，建立刷牙習慣 | 💉 施打三合一疫苗與驅蟲，建立免疫力 | 🏠 豐富化環境（貓抓板、垂直空間）預防行為問題,寄生蟲感染 | 軟便/消化不良 | 上呼吸道感染(皰疹/卡里西)
貓咪,青少年期,1.0-2.0,15-24歲,每 6 個月健檢一次,✂️ 建議 1 歲前絕育，避免公貓噴尿與打架、母貓子宮蓄膿 | ⚖️ 活動力最強時期，需大量互動消耗精力以免破壞家具 | 🦷 檢查是否殘留乳牙，預防雙排牙導致牙垢堆積,肥胖(結紮後) | 行為問題(攻擊/亂尿) | 牙齦炎
貓咪,成年期,2.0-7.0,24-44歲,每年健檢一次,💧 重點預防「特發性膀胱炎(FIC)」，多貓家庭需分散資源（水/砂盆） | ⚖️ 嚴格控制熱量，肥胖是糖尿病最大主因 | 🦷 每週至少刷牙 2-3 次，預防牙周病與口炎,特發性膀胱炎(FIC) | 肥胖 | 牙周病/口炎
貓咪,熟齡期,7.0-11.0,44-60歲,每 6 個月健檢一次,🩺 加測 SDMA（早期腎指標）與 T4（甲狀腺） | 👁️ 留意「食慾變好卻變瘦」可能是甲狀腺亢進 | 🦴 注意跳躍力下降，可能是關節疼痛而非單純變老,慢性腎病(CKD) | 甲狀腺亢進 | 退化性關節炎
貓咪,老年期,11.0-99.0,60歲以上,每 3-4 個月健檢一次,💉 學習居家皮下輸液技巧，維持腎衰竭貓生活品質 | 🧠 補充 MCTs (中鏈脂肪酸) 延緩失智 | 💊 善用新型單株抗體(Solensia)緩解關節痛 | 🛌 提供低門檻砂盆與暖墊,慢性腎衰竭 | 淋巴瘤 | 認知障礙(CDS)
狗狗,幼年期,0.0-1.0,0-15歲,每 3 個月健檢一次,🍼 少量多餐好消化食物，免疫空窗期(16週前)禁去公園 | 🦴 大型犬需控制鈣磷比，防生長過快導致關節發育不良 | 🏫 社會化黃金期，習慣各類聲響與觸摸,病毒性腸炎(小病毒) | 異物吞食 | 骨骼發育異常
狗狗,青少年期,1.0-2.0,15-24歲,每 6 個月健檢一次,🏃 每日充足運動消耗精力，避免破壞行為 | ✂️ 適齡絕育：母犬防乳腺瘤(第1次發情前最佳)、公犬防遊蕩 | 🦷 建立每日刷牙習慣，預防牙結石,過動/破壞行為 | 兩性行為問題 | 外寄生蟲
狗狗,成年期,2.0-7.0,24-44歲,每年健檢一次,🦟 台灣蚊蟲多，需「全年無休」預防心絲蟲 | 🥗 皮膚過敏犬可嘗試綠豆薏仁等食療(需煮爛) | ⚖️ 定期量測體重，肥胖會加重關節負擔與氣管塌陷,皮膚過敏(異位性皮膚炎) | 心絲蟲 | 牙周病
狗狗,熟齡期,7.0-10.0,44-67歲,每 6 個月健檢一次,🩺 7歲為癌症與臟器退化分水嶺，需定期血檢與影像檢查 | ❤️ 居家計算「休息呼吸次數(SRR)」監測心臟病 | 🦴 補充綠唇貝/魚油保護關節,二尖瓣逆流(小型犬) | 慢性腎病 | 肥大細胞瘤/血管肉瘤
狗狗,老年期,10.0-99.0,67歲以上,每 3-4 個月健檢一次,🩺 密切監控心腎功能，避免高鈉飲食 | 🦀 腫瘤高發期，可採「低碳水類生酮」飲食輔助 | 🛏️ 提供防滑地墊防跌倒，減少爬樓梯 | 👀 注意白內障與聽力退化,多重器官衰竭 | 認知退化(失智) | 行動不便
