Store Name,City (CH),City (EN),District (CH),District (EN),Address,Full Address,Latitude,Longitude,Supplies Phone,offers_grooming_service,Grooming Phone,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,google_business_url,google_business_short_url
內湖,台北市,Taipei City,內湖區,Neihu District,金龍路17號,台北市內湖區金龍路17號,25.0846089316135,121.59463993217,(02)2796-1100,true,,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,11:30-22:30,11:30-22:30,"https://www.google.com/maps/place/%E5%AE%9C%E5%8A%A0%E5%AF%B5%E7%89%A9%E7%94%9F%E6%B4%BB%E9%A4%A8_%E5%85%A7%E6%B9%96%E5%BA%97/@25.0846883,121.5921283,17z/data=!3m2!4b1!5s0x3442aced65b0e45b:0x73477ead5e2a35db!4m6!3m5!1s0x3442aced65738857:0x4a90e5c0bb942035!8m2!3d25.0846835!4d121.5947032!16s%2Fg%2F12cnxq_83?coh=277535&entry=tts&g_ep=EgoyMDI2MDEyMS4wIPu8ASoKLDEwMDc5MjA3M0gBUAM%3D&skid=6ad15ee7-bcd8-4aaa-8a3d-a4bc27421ffd",https://reurl.cc/laKQzv
中正,新北市,New Taipei City,新莊區,Xinzhuang District,中正路380號,新北市新莊區中正路380號,25.0342200600257,121.442976421663,(02)8991-7700,true,,OFF,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,11:00-22:00,11:00-22:00,,
中華,新北市,New Taipei City,新莊區,Xinzhuang District,中華路二段22-1號,新北市新莊區中華路二段22-1號,25.0448444216677,121.453486519488,(02)8993-6000,true,(02)8993-7000,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30,,
龍安,新北市,New Taipei City,新莊區,Xinzhuang District,龍安路306號,新北市新莊區龍安路306號,25.0188687324957,121.423177604826,(02)2202-5000,true,,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,,
淡水,新北市,New Taipei City,淡水區,Tamsui District,中山路170號,新北市淡水區中山路170號,25.1739699524988,121.441238394258,(02)2626-9555,true,,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,,
五股,新北市,New Taipei City,五股區,Wugu District,成泰路一段138號,新北市五股區成泰路一段138號,25.0758952725763,121.435053940776,(02)2295-2000,false,,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,,
泰山,新北市,New Taipei City,泰山區,Taishan District,明志路二段152號,新北市泰山區明志路二段152號,25.0507246863713,121.42750942755,(02)2900-0650,false,,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,,
九芎,新北市,New Taipei City,蘆洲區,Luzhou District,九芎街90巷11-1號,新北市蘆洲區九芎街90巷11-1號,25.0809765869185,121.464896041704,(02)8285-7111,true,,OFF,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,11:30-22:30,11:30-22:30,,
長榮,新北市,New Taipei City,蘆洲區,Luzhou District,長榮路786、788號,新北市蘆洲區長榮路786、788號,25.0927720547628,121.461083655427,(02)2282-0066,false,,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,,
新和,新北市,New Taipei City,新莊區,Xinzhuang District,中和街28號,新北市新莊區中和街28號,25.04377345957,121.448253660835,(02)2997-2211,true,,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,,
康寧,新北市,New Taipei City,汐止區,Xizhi District,康寧街378號,新北市汐止區康寧街378號,25.0676684725622,121.62908637907,(02)2693-5678,true,,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,,
仁愛,新北市,New Taipei City,三重區,Sanchong District,仁愛街508號,新北市三重區仁愛街508號,25.0821037882808,121.487878587634,(02)2983-2929,false,,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,"https://www.google.com/maps/place/%E5%AE%9C%E5%8A%A0%E5%AF%B5%E7%89%A9%E7%94%9F%E6%B4%BB%E9%A4%A8_%E4%BB%81%E6%84%9B%E5%BA%97/@25.0820972,121.4878774,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a8d42fb85f4f:0xfcc161b5793d079b!8m2!3d25.0820972!4d121.4878774!16s%2Fg%2F11bxg2thh6?coh=277535&entry=tts&g_ep=EgoyMDI2MDEyMS4wIPu8ASoKLDEwMDc5MjA3M0gBUAM%3D&skid=e8abba27-f58f-4f21-a60b-0505015fd4dd",https://reurl.cc/jmKW92
明志,新北市,New Taipei City,泰山區,Taishan District,明志路一段409號,新北市泰山區明志路一段409號,25.0571792462594,121.43082585122,(02)2983-0518,false,,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,11:00-22:00,11:00-22:00,,
中港,新北市,New Taipei City,新莊區,Xinzhuang District,中港路430號,新北市新莊區中港路430號,25.0507848830872,121.452040519411,(02)2990-1715,false,,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,"https://www.google.com/maps/place/%E5%AE%9C%E5%8A%A0%E5%AF%B5%E7%89%A9%E7%94%9F%E6%B4%BB%E9%A4%A8_%E4%B8%AD%E6%B8%AF%E5%BA%97/@25.0507961,121.4495328,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a9205f8b797d:0xc4c55c7a7b3545a2!8m2!3d25.0507913!4d121.4521077!16s%2Fg%2F11sqq76z0c?coh=277535&entry=tts&g_ep=EgoyMDI2MDEyMS4wIPu8ASoKLDEwMDc5MjA3M0gBUAM%3D&skid=b30e5e55-d8e5-4645-8c35-5aa2e0c7836e",https://reurl.cc/XaKGAM
成泰,新北市,New Taipei City,五股區,Wugu District,成泰路3段518號,新北市五股區成泰路3段518號,25.1024602187257,121.452330815434,(02)2908-0960,false,,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,,
北大,新北市,New Taipei City,三峽區,Sanxia District,三樹路202-1號,新北市三峽區三樹路202-1號,24.9418943722134,121.379208351129,(02)8672-5898,false,,OFF,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,11:00-22:00,11:00-22:00,"https://www.google.com/maps/place/%E5%AE%9C%E5%8A%A0%E5%AF%B5%E7%89%A9%E7%94%9F%E6%B4%BB%E9%A4%A8-%E5%8C%97%E5%A4%A7%E5%BA%97/@24.941891,121.3767361,17z/data=!3m1!4b1!4m6!3m5!1s0x34681b2d1230b8c3:0x8d2f04b83160be8e!8m2!3d24.941891!4d121.379311!16s%2Fg%2F11vqnns5cm?coh=277535&entry=tts&g_ep=EgoyMDI2MDEyMS4wIPu8ASoKLDEwMDc5MjA3M0gBUAM%3D&skid=e9e8ee17-43dc-461c-ae88-7a095cb35a2a",https://reurl.cc/GG2jn3
